"","season","episode","scene","utterance","emotion"
"1",1,1,4,1,"Mad"
"2",1,1,4,3,"Neutral"
"3",1,1,4,4,"Joyful"
"4",1,1,4,5,"Neutral"
"5",1,1,4,6,"Neutral"
"6",1,1,4,7,"Neutral"
"7",1,1,4,8,"Scared"
"8",1,1,4,10,"Joyful"
"9",1,1,4,11,"Joyful"
"10",1,1,4,12,"Sad"
"11",1,1,4,13,"Mad"
"12",1,1,4,14,"Scared"
"13",1,1,4,15,"Neutral"
"14",1,1,4,16,"Sad"
"15",1,1,4,17,"Sad"
"16",1,1,4,18,"Mad"
"17",1,1,4,19,"Mad"
"18",1,1,5,1,"Mad"
"19",1,1,5,2,"Sad"
"20",1,1,5,3,"Sad"
"21",1,1,5,4,"Powerful"
"22",1,1,5,5,"Joyful"
"23",1,1,5,6,"Joyful"
"24",1,1,5,7,"Powerful"
"25",1,1,5,8,"Peaceful"
"26",1,1,5,9,"Powerful"
"27",1,1,7,1,"Sad"
"28",1,1,7,2,"Mad"
"29",1,1,7,3,"Mad"
"30",1,1,7,4,"Sad"
"31",1,1,7,5,"Sad"
"32",1,1,7,6,"Scared"
"33",1,1,7,7,"Powerful"
"34",1,1,7,8,"Scared"
"35",1,1,7,9,"Mad"
"36",1,1,8,1,"Sad"
"37",1,1,8,2,"Neutral"
"38",1,1,8,3,"Sad"
"39",1,1,8,4,"Neutral"
"40",1,1,8,5,"Scared"
"41",1,1,8,6,"Neutral"
"42",1,1,8,7,"Sad"
"43",1,1,8,8,"Neutral"
"44",1,1,8,9,"Sad"
"45",1,1,8,10,"Neutral"
"46",1,1,8,11,"Neutral"
"47",1,1,8,12,"Joyful"
"48",1,1,8,13,"Neutral"
"49",1,1,8,14,"Neutral"
"50",1,1,10,1,"Peaceful"
"51",1,1,10,2,"Scared"
"52",1,1,10,3,"Joyful"
"53",1,1,10,4,"Peaceful"
"54",1,1,10,5,"Sad"
"55",1,1,12,1,"Joyful"
"56",1,1,12,2,"Neutral"
"57",1,1,12,3,"Neutral"
"58",1,1,12,4,"Neutral"
"59",1,1,12,5,"Mad"
"60",1,1,12,6,"Neutral"
"61",1,1,12,7,"Neutral"
"62",1,1,12,8,"Neutral"
"63",1,1,12,9,"Neutral"
"64",1,1,13,1,"Mad"
"65",1,1,13,2,"Mad"
"66",1,1,13,3,"Neutral"
"67",1,1,13,4,"Mad"
"68",1,1,13,5,"Peaceful"
"69",1,1,13,6,"Mad"
"70",1,1,13,7,"Peaceful"
"71",1,1,13,8,"Sad"
"72",1,1,13,9,"Joyful"
"73",1,1,13,11,"Neutral"
"74",1,1,13,12,"Neutral"
"75",1,1,13,13,"Mad"
"76",1,1,13,14,"Neutral"
"77",1,1,13,15,"Joyful"
"78",1,1,13,16,"Neutral"
"79",1,1,13,17,"Joyful"
"80",1,1,13,18,"Neutral"
"81",1,1,13,19,"Neutral"
"82",1,1,13,20,"Neutral"
"83",1,1,13,21,"Neutral"
"84",1,1,15,1,"Neutral"
"85",1,1,15,2,"Joyful"
"86",1,1,15,3,"Scared"
"87",1,1,15,4,"Joyful"
"88",1,1,15,5,"Mad"
"89",1,1,15,6,"Neutral"
